Feature,Importance
oxygen_saturation,0.13301082362083827
pack_years,0.11913518463729934
fev1_x10,0.10143543657622008
shortness_of_breath,0.10059249945167666
cigarettes_per_day,0.089442882784639
smoking_years,0.07059946696249107
chronic_cough,0.062395990928571635
age,0.055892722105582174
smoker,0.04981785034050325
occupational_exposure,0.04393132332047386
asthma,0.040624033396892606
crp_level,0.03764816326752009
xray_abnormal,0.016605411067304378
air_pollution_index,0.013437456783251464
bmi,0.010912410907164488
alcohol_units_per_week,0.009897634539295777
education_years,0.00837646664787149
exercise_hours_per_week,0.0072614707247537205
healthcare_access,0.005554321330068459
diet_quality,0.004930381467905607
income_level,0.004854041703584477
gender,0.002626341846100175
passive_smoking,0.002327773744282278
chest_pain,0.0021131750682267325
family_history_cancer,0.0020766217369383873
fatigue,0.002028969938622815
radon_exposure,0.0013530767754785298
previous_tb,0.0011180683264432837
